GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
01048000, 0.6072, 0.4237, 0.0828, 0.3191, 5.3749
01055500, 0.634, 0.4431, 0.0797, 0.2693, 6.9635
01060000, nan, 0.4111, nan, 0.2357, 7.87
01064500, 0.5075, 0.3783, 0.0625, 0.3265, 5.1527
01076500, 0.5576, 0.392, 0.0828, 0.2901, 5.8424
01127000, 0.6027, 0.4512, 0.0526, 0.1799, 8.9382
01138000, 0.6214, 0.5059, 0.0093, 0.2701, 5.7074
01197500, 0.5507, 0.4548, 0.0155, 0.2226, 7.1769
01200000, 0.6201, 0.5154, -0.001, 0.1701, 8.8527
01321000, 0.5563, 0.374, 0.1, 0.3163, 5.6189
01329000, 0.4967, 0.3985, 0.0346, 0.2401, 6.8812
01329500, 0.5725, 0.4892, -0.0046, 0.214, 7.4709
01334500, 0.5549, 0.4463, 0.0267, 0.2198, 7.2802
01348000, 0.5616, 0.2894, 0.1881, 0.2883, 6.0628
01361000, 0.608, 0.6149, -0.1078, 0.2001, 7.8455
01371500, 0.6662, 0.5425, -0.0009, 0.1576, 9.6384
01372500, 0.6726, 0.5255, 0.0197, 0.158, 9.2343
01421000, 0.6224, 0.5454, -0.0296, 0.2211, 6.9714
01423000, 0.6481, 0.4477, 0.0835, 0.2039, 7.2908
01426500, 0.6465, 0.5379, -0.0077, 0.2044, 7.4989
01445000, 0.6843, 0.5335, 0.0183, 0.1632, 9.4719
01445500, 0.6301, 0.5823, -0.0618, 0.1669, 9.2539
01500500, 0.6876, 0.4652, 0.0885, 0.2047, 7.5116
01503000, 0.6896, 0.4686, 0.0862, 0.2061, 7.6319
01512500, 0.7008, 0.4483, 0.1126, 0.2139, 7.5658
01514000, 0.7533, 0.3918, 0.1966, 0.2062, 7.6837
01518000, 0.8352, 0.4478, 0.1797, 0.1914, 7.4945
01520000, 0.835, 0.5963, 0.0312, 0.1908, 7.5104
01520500, 0.8361, 0.5944, 0.0336, 0.1845, 7.7106
01531000, 0.8365, 0.5791, 0.0491, 0.1843, 7.8568
01534000, 0.7049, 0.5209, 0.0422, 0.1866, 8.2717
01541000, 0.6679, 0.4371, 0.1055, 0.1653, 8.7708
01541500, 0.7209, 0.4769, 0.0948, 0.1761, 8.378
01543500, 0.6896, 0.4503, 0.1044, 0.1764, 8.2722
01548500, 0.7623, 0.4792, 0.1137, 0.2014, 7.351
01556000, 0.7885, 0.515, 0.0909, 0.1414, 9.8828
01558000, 0.771, 0.415, 0.1823, 0.1585, 9.188
01559000, 0.8074, 0.5271, 0.0877, 0.1492, 9.6434
01560000, 0.8033, 0.5108, 0.1021, 0.1395, 10.0911
01562000, 0.8228, 0.556, 0.0659, 0.1358, 10.2648
01567000, 0.8472, 0.5564, 0.0765, 0.1351, 10.1752
01574000, 0.8667, 0.5959, 0.0455, 0.116, 11.4834
01595000, 0.5954, 0.3402, 0.1589, 0.1604, 8.8148
01606500, 0.7411, 0.5928, -0.0106, 0.1112, 10.3581
01608500, 0.8147, 0.6027, 0.0155, 0.1061, 10.6609
01610000, 0.7923, 0.5883, 0.0194, 0.1187, 10.4855
01611500, 0.868, 0.664, -0.022, 0.1161, 10.8419
01628500, 0.8569, 0.657, -0.0198, 0.1014, 11.2881
01631000, 0.8584, 0.6564, -0.0185, 0.1, 11.3445
01634000, 0.8909, 0.7028, -0.0511, 0.0926, 11.5822
01643000, 0.8476, 0.6207, 0.0124, 0.1112, 11.5072
01649500, 0.8975, 0.6128, 0.0416, 0.0689, 12.8905
01663500, 0.8176, 0.6242, -0.0047, 0.0974, 11.7436
01664000, 0.8483, 0.6416, -0.0082, 0.0914, 12.0939
01667500, 0.817, 0.6393, -0.02, 0.089, 12.3144
01668000, 0.8543, 0.6667, -0.0306, 0.0823, 12.5098
01672500, 0.8625, 0.6939, -0.0542, 0.0704, 13.3974
01674500, 0.8888, 0.7011, -0.0503, 0.0663, 13.5962
02016000, 0.7121, 0.6109, -0.0439, 0.1005, 11.0064
02018000, 0.7488, 0.5985, -0.0123, 0.0912, 11.4195
02030500, 0.8363, 0.6727, -0.0446, 0.0695, 13.5296
02055000, 0.7856, 0.698, -0.0936, 0.0847, 11.8869
02058400, 0.7664, 0.6755, -0.0805, 0.067, 13.2749
02083500, 0.8616, 0.711, -0.0718, 0.0345, 15.1361
02102000, 0.8054, 0.7061, -0.0922, 0.0359, 15.1596
02116500, 0.7087, 0.6267, -0.0615, 0.0433, 13.6416
02118000, 0.7344, 0.6768, -0.098, 0.0431, 14.0567
02121000, 0.7258, nan, nan, 0.0414, 13.9195
02126000, 0.821, 0.7031, -0.082, 0.0284, 15.7989
02135000, 0.8596, 0.6782, -0.0398, 0.0185, 16.626
02138500, 0.5622, 0.4492, 0.0287, 0.0764, 10.7411
02143000, 0.6729, 0.5774, -0.032, 0.0361, 14.1822
02143040, 0.6326, 0.5323, -0.0103, 0.0399, 13.879
02143500, 0.7524, 0.6404, -0.0524, 0.0343, 14.9937
02156500, 0.7222, 0.6132, -0.0408, 0.0249, 15.1546
02165000, 0.7687, 0.5697, 0.0265, 0.0175, 15.781
02174000, 0.8901, nan, nan, 0.0082, 17.5718
02192000, 0.8034, 0.6602, -0.0472, 0.0123, 16.0413
02202000, 0.918, nan, nan, 0.0061, 17.6774
02202500, 0.919, 0.7416, -0.0784, 0.0048, 17.9266
02217500, 0.752, 0.6511, -0.0633, 0.0127, 16.0464
02218500, 0.7962, 0.6527, -0.0432, 0.0113, 16.2995
02219500, 0.8276, 0.644, -0.0198, 0.0097, 16.554
02228000, 0.919, 0.7729, -0.1098, 0.0009, 19.0668
02236000, 0.9148, 0.6934, -0.0319, 0.0001, 22.062
02273000, 0.9734, 0.8384, -0.1542, 0.0, 22.4907
02296750, 0.9368, 0.806, -0.1358, 0.0, 22.6225
02329000, 0.8294, 0.7506, -0.1257, 0.0005, 19.4992
